Category,Category_AR,Subcategory,Subcategory_AR,Product Name,Product Name_AR,Product Description,Product Description_AR,Unit,Unit_AR,July,August,September,October,November,December,Notes,Notes_AR
Energy Efficient Lighting,إضاءة موفرة للطاقة,Facade Lighting,إضاءة واجهات,Facade light 150W 19500 lumen,كشاف واجهات 150 واط 19500 لومن,Facade lighting,إضاءة واجهات,Unit,وحدة,1995,1995,1995,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Facade Lighting,إضاءة واجهات,Facade light 200W 19500 lumen,كشاف واجهات 200 واط 19500 لومن,Facade lighting,إضاءة واجهات,Unit,وحدة,2337,2337,2337,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Facade Lighting,إضاءة واجهات,Facade light 300W 39000 lumen,كشاف واجهات 300 واط 39000 لومن,Facade lighting,إضاءة واجهات,Unit,وحدة,5415,5415,5415,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Road Lighting,إضاءة طرق,Road light 100W 13000 lumen,كشاف طرق 100 واط 13000 لومن,Road lighting,إضاءة طرق,Unit,وحدة,1995,1995,1995,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Road Lighting,إضاءة طرق,Road light 150W 19500 lumen,كشاف طرق 150 واط 19500 لومن,Road lighting,إضاءة طرق,Unit,وحدة,250.8,250.8,250.8,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Road Lighting,إضاءة طرق,Road light 200W 26000 lumen,كشاف طرق 200 واط 26000 لومن,Road lighting,إضاءة طرق,Unit,وحدة,3363,3363,3363,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,Solar Pure Precisou Street Light,كشاف شارع شمسي بيور بريسيسو,Solar street light,كشاف شارع شمسي,Unit,وحدة,9000,9000,9000,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,Solar Grain Street Light,كشاف شارع شمسي جرين,Solar street light,كشاف شارع شمسي,Unit,وحدة,5300,5300,5300,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,Solar LED Street Light 50W,كشاف شارع LED شمسي 50 واط,Solar street light,كشاف شارع شمسي,Unit,وحدة,9000,9000,9000,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,Solar LED Street Light 36W,كشاف شارع LED شمسي 36 واط,Solar street light,كشاف شارع شمسي,Unit,وحدة,4000,4000,4000,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,Led Flat Light (All In One),كشاف فلات LED (الكل في واحد),Solar street light,كشاف شارع شمسي,Unit,وحدة,7500,7500,7500,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,Integrated Light (All In One),كشاف متكامل (الكل في واحد),Solar street light,كشاف شارع شمسي,Unit,وحدة,2650,2650,2650,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,LED Street Light (All In One),كشاف شارع LED (الكل في واحد),Solar street light,كشاف شارع شمسي,Unit,وحدة,2500,2500,2500,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,LED Flood Light 300W,كشاف LED 300 واط,Solar flood light,كشاف شمسي,Unit,وحدة,6500,6500,6500,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,LED Flood Light 150W,كشاف LED 150 واط,Solar flood light,كشاف شمسي,Unit,وحدة,4000,4000,4000,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,LED Flood Light 100W,كشاف LED 100 واط,Solar flood light,كشاف شمسي,Unit,وحدة,3250,3250,3250,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,LED Flood Light 50W,كشاف LED 50 واط,Solar flood light,كشاف شمسي,Unit,وحدة,2400,2400,2400,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,LED Flood Light 30W,كشاف LED 30 واط,Solar flood light,كشاف شمسي,Unit,وحدة,3500,3500,3500,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
Energy Efficient Lighting,إضاءة موفرة للطاقة,Solar Road Lighting,إضاءة طرق شمسية,LED Flood Light 20W,كشاف LED 20 واط,Solar flood light,كشاف شمسي,Unit,وحدة,3000,3000,3000,,,,Price includes VAT,السعر شامل ضريبة القيمة المضافة
